experimentId,target,taskId,run,fullyValidated,build,typecheck,format,lint,publicTestsPassed,publicTestsTotal,hiddenTestsPassed,hiddenTestsTotal,filesChanged,linesAdded,linesDeleted,failureClassification,pullRequest
P1-LAYERED-T01-R02,layered,task-01,2,true,true,true,true,true,8,8,1,1,4,40,1,,https://github.com/naki0227/ai-readable-code-lab/pull/19
P1-MONOLITHIC-T04-R01,monolithic,task-04,1,true,true,true,true,true,8,8,1,1,2,29,6,,https://github.com/naki0227/ai-readable-code-lab/pull/20
P1-LAYERED-T04-R01,layered,task-04,1,true,true,true,true,true,8,8,1,1,3,21,3,,https://github.com/naki0227/ai-readable-code-lab/pull/21
P1-MONOLITHIC-T06-R01,monolithic,task-06,1,true,true,true,true,true,9,9,1,1,2,78,0,,https://github.com/naki0227/ai-readable-code-lab/pull/22
P1-MONOLITHIC-T05-R01,monolithic,task-05,1,false,,true,true,true,7,8,1,1,2,35,4,implementation omission,https://github.com/naki0227/ai-readable-code-lab/pull/23
P1-LAYERED-T01-R01,layered,task-01,1,false,,true,false,,7,8,1,1,4,40,1,formatting,https://github.com/naki0227/ai-readable-code-lab/pull/26
P1-FEATURE-BASED-T02-R03,feature-based,task-02,3,true,true,true,true,true,8,8,1,1,2,29,0,,https://github.com/naki0227/ai-readable-code-lab/pull/24
P1-LAYERED-T05-R02,layered,task-05,2,false,,true,true,true,7,8,1,1,4,43,7,implementation omission,https://github.com/naki0227/ai-readable-code-lab/pull/25
P1-MONOLITHIC-T02-R02,monolithic,task-02,2,true,true,true,true,true,9,9,1,1,2,45,0,,https://github.com/naki0227/ai-readable-code-lab/pull/27
P1-FEATURE-BASED-T03-R03,feature-based,task-03,3,true,true,true,true,true,9,9,1,1,4,29,1,,https://github.com/naki0227/ai-readable-code-lab/pull/28
P1-MONOLITHIC-T06-R02,monolithic,task-06,2,true,true,true,true,true,11,11,1,1,5,206,1,,https://github.com/naki0227/ai-readable-code-lab/pull/29
P1-FEATURE-BASED-T05-R01,feature-based,task-05,1,false,true,true,true,true,8,8,0,1,5,94,2,implementation omission,https://github.com/naki0227/ai-readable-code-lab/pull/30
P1-FEATURE-BASED-T02-R02,feature-based,task-02,2,true,true,true,true,true,8,8,1,1,2,38,0,,https://github.com/naki0227/ai-readable-code-lab/pull/31
P1-MONOLITHIC-T04-R02,monolithic,task-04,2,true,true,true,true,true,8,8,1,1,2,41,2,,https://github.com/naki0227/ai-readable-code-lab/pull/32
P1-MONOLITHIC-T02-R01,monolithic,task-02,1,true,true,true,true,true,9,9,1,1,4,127,0,,https://github.com/naki0227/ai-readable-code-lab/pull/33
P1-LAYERED-T02-R03,layered,task-02,3,true,true,true,true,true,8,8,1,1,5,118,1,,https://github.com/naki0227/ai-readable-code-lab/pull/34
P1-MONOLITHIC-T06-R03,monolithic,task-06,3,true,true,true,true,true,9,9,1,1,2,76,1,,https://github.com/naki0227/ai-readable-code-lab/pull/35
P1-FEATURE-BASED-T02-R01,feature-based,task-02,1,true,true,true,true,true,9,9,1,1,2,43,0,,https://github.com/naki0227/ai-readable-code-lab/pull/36
P1-FEATURE-BASED-T04-R02,feature-based,task-04,2,true,true,true,true,true,10,10,1,1,2,37,2,,https://github.com/naki0227/ai-readable-code-lab/pull/37
P1-MONOLITHIC-T03-R02,monolithic,task-03,2,true,true,true,true,true,9,9,1,1,2,90,0,,https://github.com/naki0227/ai-readable-code-lab/pull/38
P1-LAYERED-T03-R03,layered,task-03,3,true,true,true,true,true,10,10,1,1,5,114,2,,https://github.com/naki0227/ai-readable-code-lab/pull/39
P1-MONOLITHIC-T04-R03,monolithic,task-04,3,true,true,true,true,true,8,8,1,1,2,30,6,,https://github.com/naki0227/ai-readable-code-lab/pull/40
P1-FEATURE-BASED-T01-R01,feature-based,task-01,1,true,true,true,true,true,8,8,1,1,3,43,0,,https://github.com/naki0227/ai-readable-code-lab/pull/41
P1-MONOLITHIC-T05-R03,monolithic,task-05,3,false,,true,true,true,6,7,1,1,2,30,15,shared contract mismatch,https://github.com/naki0227/ai-readable-code-lab/pull/42
P1-LAYERED-T04-R03,layered,task-04,3,true,true,true,true,true,9,9,1,1,3,49,3,,https://github.com/naki0227/ai-readable-code-lab/pull/43
P1-MONOLITHIC-T01-R03,monolithic,task-01,3,true,true,true,true,true,8,8,1,1,2,42,1,,https://github.com/naki0227/ai-readable-code-lab/pull/44
P1-FEATURE-BASED-T05-R02,feature-based,task-05,2,false,,true,true,true,7,8,1,1,3,43,4,shared contract mismatch,https://github.com/naki0227/ai-readable-code-lab/pull/45
P1-MONOLITHIC-T02-R03,monolithic,task-02,3,true,true,true,true,true,9,9,1,1,2,56,0,,https://github.com/naki0227/ai-readable-code-lab/pull/46
P1-MONOLITHIC-T03-R01,monolithic,task-03,1,true,true,true,true,true,9,9,1,1,2,75,0,,https://github.com/naki0227/ai-readable-code-lab/pull/47
P1-FEATURE-BASED-T05-R03,feature-based,task-05,3,false,,true,true,true,7,8,1,1,4,54,7,shared contract mismatch,https://github.com/naki0227/ai-readable-code-lab/pull/48
P1-FEATURE-BASED-T06-R02,feature-based,task-06,2,true,true,true,true,true,9,9,1,1,3,91,1,,https://github.com/naki0227/ai-readable-code-lab/pull/49
P1-FEATURE-BASED-T01-R02,feature-based,task-01,2,true,true,true,true,true,8,8,1,1,3,32,0,,https://github.com/naki0227/ai-readable-code-lab/pull/50
P1-LAYERED-T03-R02,layered,task-03,2,true,true,true,true,true,8,8,1,1,5,72,2,,https://github.com/naki0227/ai-readable-code-lab/pull/51
P1-LAYERED-T02-R02,layered,task-02,2,true,true,true,true,true,8,8,1,1,3,42,1,,https://github.com/naki0227/ai-readable-code-lab/pull/52
P1-LAYERED-T02-R01,layered,task-02,1,true,true,true,true,true,8,8,1,1,3,52,1,,https://github.com/naki0227/ai-readable-code-lab/pull/53
P1-LAYERED-T05-R03,layered,task-05,3,false,true,true,true,true,7,8,1,1,4,38,6,shared contract mismatch,https://github.com/naki0227/ai-readable-code-lab/pull/54
P1-FEATURE-BASED-T01-R03,feature-based,task-01,3,true,true,true,true,true,9,9,1,1,3,59,0,,https://github.com/naki0227/ai-readable-code-lab/pull/55
P1-MONOLITHIC-T03-R03,monolithic,task-03,3,true,true,true,true,true,8,8,1,1,2,54,0,,https://github.com/naki0227/ai-readable-code-lab/pull/56
P1-MONOLITHIC-T01-R02,monolithic,task-01,2,true,true,true,true,true,8,8,1,1,2,37,1,,https://github.com/naki0227/ai-readable-code-lab/pull/57
P1-MONOLITHIC-T01-R01,monolithic,task-01,1,true,true,true,true,true,8,8,1,1,2,37,1,,https://github.com/naki0227/ai-readable-code-lab/pull/58
P1-FEATURE-BASED-T06-R03,feature-based,task-06,3,false,true,true,false,true,8,9,1,1,3,73,0,formatting,https://github.com/naki0227/ai-readable-code-lab/pull/59
P1-MONOLITHIC-T05-R02,monolithic,task-05,2,false,true,true,true,true,7,8,1,1,2,42,9,shared contract mismatch,https://github.com/naki0227/ai-readable-code-lab/pull/60
P1-LAYERED-T06-R03,layered,task-06,3,true,true,true,true,true,9,9,1,1,4,107,1,,https://github.com/naki0227/ai-readable-code-lab/pull/61
P1-LAYERED-T05-R01,layered,task-05,1,false,true,true,true,true,7,8,1,1,5,40,10,shared contract mismatch,https://github.com/naki0227/ai-readable-code-lab/pull/62
P1-FEATURE-BASED-T03-R01,feature-based,task-03,1,true,true,true,true,true,9,9,1,1,4,87,2,,https://github.com/naki0227/ai-readable-code-lab/pull/63
P1-LAYERED-T06-R01,layered,task-06,1,true,true,true,true,true,9,9,1,1,4,101,3,,https://github.com/naki0227/ai-readable-code-lab/pull/64
P1-LAYERED-T04-R02,layered,task-04,2,false,,true,false,,12,13,1,1,3,76,1,formatting failure,https://github.com/naki0227/ai-readable-code-lab/pull/65
P1-FEATURE-BASED-T04-R01,feature-based,task-04,1,true,true,true,true,true,13,13,1,1,3,78,9,,https://github.com/naki0227/ai-readable-code-lab/pull/66
P1-LAYERED-T03-R01,layered,task-03,1,true,true,true,true,true,9,9,1,1,5,106,5,,https://github.com/naki0227/ai-readable-code-lab/pull/67
P1-FEATURE-BASED-T04-R03,feature-based,task-04,3,true,true,true,true,true,8,8,1,1,2,65,1,,https://github.com/naki0227/ai-readable-code-lab/pull/68
P1-LAYERED-T01-R03,layered,task-01,3,true,true,true,true,true,8,8,1,1,4,39,1,,https://github.com/naki0227/ai-readable-code-lab/pull/69
P1-LAYERED-T06-R02,layered,task-06,2,false,,true,false,,9,10,1,1,5,126,1,formatting failure,https://github.com/naki0227/ai-readable-code-lab/pull/70
P1-FEATURE-BASED-T03-R02,feature-based,task-03,2,true,true,true,true,true,10,10,1,1,4,100,1,,https://github.com/naki0227/ai-readable-code-lab/pull/71
P1-FEATURE-BASED-T06-R01,feature-based,task-06,1,false,,false,,,5,9,0,1,4,116,8,typecheck failure; functional failure,https://github.com/naki0227/ai-readable-code-lab/pull/72
